seq_length,category
26693,Category 2
26695,Category 2
26696,Category 2
26696,Category 2
26701,Category 2
26701,Category 2
26701,Category 2
26703,Category 2
26705,Category 2
26707,Category 2
26708,Category 2
26708,Category 2
26709,Category 2
26710,Category 2
26712,Category 2
26713,Category 2
26715,Category 2
26716,Category 2
26719,Category 2
26725,Category 2
26726,Category 2
26727,Category 2
26727,Category 2
26731,Category 2
26735,Category 2
26735,Category 2
26739,Category 2
26741,Category 2
26742,Category 2
26745,Category 2
26746,Category 2
26747,Category 2
26748,Category 2
26752,Category 2
26755,Category 2
26756,Category 2
26757,Category 2
26760,Category 2
26762,Category 2
26765,Category 2
26766,Category 2
26767,Category 2
26773,Category 2
26774,Category 2
26776,Category 2
26778,Category 2
26778,Category 2
26781,Category 2
26783,Category 2
26784,Category 2
26784,Category 2
26788,Category 2
26788,Category 2
26789,Category 2
26789,Category 2
26790,Category 2
26791,Category 2
26792,Category 2
26793,Category 2
26796,Category 2
26797,Category 2
26798,Category 2
26798,Category 2
26801,Category 2
26805,Category 2
26805,Category 2
26812,Category 2
26813,Category 2
26814,Category 2
26814,Category 2
26816,Category 2
26816,Category 2
26816,Category 2
26817,Category 2
26818,Category 2
26818,Category 2
26822,Category 2
26824,Category 2
26826,Category 2
26826,Category 2
26827,Category 2
26829,Category 2
26832,Category 2
26834,Category 2
26834,Category 2
26835,Category 2
26836,Category 2
26836,Category 2
26836,Category 2
26837,Category 2
26837,Category 2
26838,Category 2
26839,Category 2
26841,Category 2
26842,Category 2
26843,Category 2
26844,Category 2
26845,Category 2
26845,Category 2
26846,Category 2
26848,Category 2
26850,Category 2
26852,Category 2
26853,Category 2
26854,Category 2
26856,Category 2
26856,Category 2
26860,Category 2
26860,Category 2
26861,Category 2
26863,Category 2
26864,Category 2
26867,Category 2
26867,Category 2
26869,Category 2
26869,Category 2
26871,Category 2
26871,Category 2
26872,Category 2
26872,Category 2
26875,Category 2
26879,Category 2
26879,Category 2
26879,Category 2
26879,Category 2
26881,Category 2
26884,Category 2
26888,Category 2
26888,Category 2
26888,Category 2
26891,Category 2
26891,Category 2
26891,Category 2
26891,Category 2
26892,Category 2
26894,Category 2
26897,Category 2
26898,Category 2
26900,Category 2
26902,Category 2
26903,Category 2
26904,Category 2
26904,Category 2
26905,Category 2
26905,Category 2
26906,Category 2
26908,Category 2
26911,Category 2
26912,Category 2
26918,Category 2
26919,Category 2
26921,Category 2
26924,Category 2
26924,Category 2
26925,Category 2
26925,Category 2
26927,Category 2
26928,Category 2
26932,Category 2
26932,Category 2
26932,Category 2
26934,Category 2
26936,Category 2
26936,Category 2
26937,Category 2
26939,Category 2
26941,Category 2
26941,Category 2
26941,Category 2
26942,Category 2
26943,Category 2
26943,Category 2
26944,Category 2
26944,Category 2
26944,Category 2
26945,Category 2
26946,Category 2
26946,Category 2
26949,Category 2
26949,Category 2
26950,Category 2
26951,Category 2
26952,Category 2
26952,Category 2
26952,Category 2
26952,Category 2
26953,Category 2
26953,Category 2
26958,Category 2
26958,Category 2
26959,Category 2
26959,Category 2
26960,Category 2
26960,Category 2
26960,Category 2
26962,Category 2
26962,Category 2
26962,Category 2
26963,Category 2
26964,Category 2
26965,Category 2
26965,Category 2
26965,Category 2
26965,Category 2
26966,Category 2
26966,Category 2
26967,Category 2
26968,Category 2
26969,Category 2
26970,Category 2
26971,Category 2
26971,Category 2
26973,Category 2
26974,Category 2
26975,Category 2
26978,Category 2
26979,Category 2
26979,Category 2
26979,Category 2
26979,Category 2
26980,Category 2
26980,Category 2
26981,Category 2
26987,Category 2
26988,Category 2
26990,Category 2
26991,Category 2
26991,Category 2
27007,Category 2
27008,Category 2
27008,Category 2
27009,Category 2
27009,Category 2
27011,Category 2
27011,Category 2
27013,Category 2
27013,Category 2
27014,Category 2
27015,Category 2
27015,Category 2
27015,Category 2
27016,Category 2
27018,Category 2
27022,Category 2
27023,Category 2
27023,Category 2
27025,Category 2
27026,Category 2
27027,Category 2
27027,Category 2
27028,Category 2
27028,Category 2
27029,Category 2
27029,Category 2
27029,Category 2
27030,Category 2
27031,Category 2
27032,Category 2
27032,Category 2
27032,Category 2
27033,Category 2
27034,Category 2
27034,Category 2
27035,Category 2
27036,Category 2
27040,Category 2
27040,Category 2
27042,Category 2
27044,Category 2
27045,Category 2
27046,Category 2
27049,Category 2
27049,Category 2
27049,Category 2
27050,Category 2
27050,Category 2
27051,Category 2
27053,Category 2
27053,Category 2
27054,Category 2
27055,Category 2
27057,Category 2
27059,Category 2
27061,Category 2
27063,Category 2
27064,Category 2
27064,Category 2
27065,Category 2
27066,Category 2
27066,Category 2
27067,Category 2
27067,Category 2
27067,Category 2
27068,Category 2
27071,Category 2
27071,Category 2
27073,Category 2
27074,Category 2
27074,Category 2
27075,Category 2
27077,Category 2
27078,Category 2
27079,Category 2
27079,Category 2
27080,Category 2
27080,Category 2
27084,Category 2
27085,Category 2
27087,Category 2
27089,Category 2
27090,Category 2
27090,Category 2
27090,Category 2
27090,Category 2
27090,Category 2
27091,Category 2
27092,Category 2
27094,Category 2
27095,Category 2
27095,Category 2
27096,Category 2
27096,Category 2
27096,Category 2
27099,Category 2
27100,Category 2
27100,Category 2
27101,Category 2
27102,Category 2
27103,Category 2
27104,Category 2
27104,Category 2
27110,Category 2
27110,Category 2
27110,Category 2
27110,Category 2
27110,Category 2
27115,Category 2
27116,Category 2
27117,Category 2
27119,Category 2
27121,Category 2
27121,Category 2
27121,Category 2
27124,Category 2
27125,Category 2
27125,Category 2
27127,Category 2
27131,Category 2
27132,Category 2
27133,Category 2
27134,Category 2
27134,Category 2
27134,Category 2
27135,Category 2
27136,Category 2
27137,Category 2
27138,Category 2
27141,Category 2
27141,Category 2
27143,Category 2
27144,Category 2
27144,Category 2
27145,Category 2
27145,Category 2
27146,Category 2
27146,Category 2
27148,Category 2
27150,Category 2
27151,Category 2
27152,Category 2
27154,Category 2
27155,Category 2
27156,Category 2
27157,Category 2
27157,Category 2
27158,Category 2
27158,Category 2
27159,Category 2
27159,Category 2
27160,Category 2
27161,Category 2
27161,Category 2
27162,Category 2
27164,Category 2
27165,Category 2
27168,Category 2
27168,Category 2
27170,Category 2
27172,Category 2
27172,Category 2
27173,Category 2
27174,Category 2
27174,Category 2
27174,Category 2
27176,Category 2
27177,Category 2
27178,Category 2
27179,Category 2
27179,Category 2
27181,Category 2
27182,Category 2
27184,Category 2
27187,Category 2
27190,Category 2
27190,Category 2
27190,Category 2
27190,Category 2
27192,Category 2
27193,Category 2
27193,Category 2
27195,Category 2
27195,Category 2
27197,Category 2
27198,Category 2
27201,Category 2
27202,Category 2
27202,Category 2
27203,Category 2
27205,Category 2
27206,Category 2
27207,Category 2
27207,Category 2
27207,Category 2
27209,Category 2
27209,Category 2
27210,Category 2
27212,Category 2
27214,Category 2
27214,Category 2
27214,Category 2
27214,Category 2
27216,Category 2
27217,Category 2
27217,Category 2
27218,Category 2
27218,Category 2
27218,Category 2
27219,Category 2
27221,Category 2
27221,Category 2
27222,Category 2
27223,Category 2
27225,Category 2
27226,Category 2
27227,Category 2
27229,Category 2
27231,Category 2
27232,Category 2
27232,Category 2
27236,Category 2
27237,Category 2
27238,Category 2
27239,Category 2
27240,Category 2
27241,Category 2
27243,Category 2
27243,Category 2
27243,Category 2
27244,Category 2
27244,Category 2
27245,Category 2
27245,Category 2
27246,Category 2
27246,Category 2
27246,Category 2
27247,Category 2
27248,Category 2
27249,Category 2
27251,Category 2
27252,Category 2
27253,Category 2
27256,Category 2
27257,Category 2
27259,Category 2
27259,Category 2
27260,Category 2
27263,Category 2
27264,Category 2
27265,Category 2
27265,Category 2
27266,Category 2
27266,Category 2
27267,Category 2
27267,Category 2
27268,Category 2
27268,Category 2
27269,Category 2
27270,Category 2
27270,Category 2
27273,Category 2
27275,Category 2
27277,Category 2
27278,Category 2
27279,Category 2
27280,Category 2
27281,Category 2
27281,Category 2
27283,Category 2
27284,Category 2
27286,Category 2
27287,Category 2
27287,Category 2
27288,Category 2
27288,Category 2
27289,Category 2
27293,Category 2
27294,Category 2
27295,Category 2
27298,Category 2
27299,Category 2
27301,Category 2
27301,Category 2
27303,Category 2
27303,Category 2
27304,Category 2
27304,Category 2
27305,Category 2
27306,Category 2
27306,Category 2
27306,Category 2
27307,Category 2
27307,Category 2
27311,Category 2
27311,Category 2
27312,Category 2
27312,Category 2
27314,Category 2
27314,Category 2
27314,Category 2
27315,Category 2
27315,Category 2
27316,Category 2
27316,Category 2
27318,Category 2
27320,Category 2
27321,Category 2
27321,Category 2
27322,Category 2
27322,Category 2
27324,Category 2
27325,Category 2
27326,Category 2
27326,Category 2
27326,Category 2
27327,Category 2
27328,Category 2
27329,Category 2
27330,Category 2
27333,Category 2
27335,Category 2
27337,Category 2
27337,Category 2
27337,Category 2
27339,Category 2
27342,Category 2
27342,Category 2
27343,Category 2
27344,Category 2
27346,Category 2
27346,Category 2
27347,Category 2
27350,Category 2
27350,Category 2
27352,Category 2
27353,Category 2
27353,Category 2
27353,Category 2
27353,Category 2
27356,Category 2
27359,Category 2
27360,Category 2
27361,Category 2
27361,Category 2
27361,Category 2
27362,Category 2
27363,Category 2
27364,Category 2
27367,Category 2
27368,Category 2
27370,Category 2
27370,Category 2
27370,Category 2
27371,Category 2
27371,Category 2
27371,Category 2
27371,Category 2
27371,Category 2
27373,Category 2
27374,Category 2
27375,Category 2
27378,Category 2
27379,Category 2
27379,Category 2
27380,Category 2
27381,Category 2
27382,Category 2
27383,Category 2
27384,Category 2
27384,Category 2
27384,Category 2
27384,Category 2
27387,Category 2
27387,Category 2
27388,Category 2
27388,Category 2
27388,Category 2
27390,Category 2
27390,Category 2
27391,Category 2
27391,Category 2
27392,Category 2
27393,Category 2
27394,Category 2
27394,Category 2
27396,Category 2
27397,Category 2
27400,Category 2
27401,Category 2
27402,Category 2
27402,Category 2
27403,Category 2
27404,Category 2
27405,Category 2
27405,Category 2
27406,Category 2
27407,Category 2
27407,Category 2
27411,Category 2
27411,Category 2
27411,Category 2
27415,Category 2
27419,Category 2
27420,Category 2
27421,Category 2
27421,Category 2
27422,Category 2
27424,Category 2
27425,Category 2
27426,Category 2
27426,Category 2
27428,Category 2
27428,Category 2
27429,Category 2
27429,Category 2
27430,Category 2
27431,Category 2
27431,Category 2
27432,Category 2
27432,Category 2
27432,Category 2
27432,Category 2
27434,Category 2
27436,Category 2
27436,Category 2
27436,Category 2
27437,Category 2
27437,Category 2
27440,Category 2
27442,Category 2
27443,Category 2
27443,Category 2
27445,Category 2
27445,Category 2
27446,Category 2
27448,Category 2
27449,Category 2
27451,Category 2
27451,Category 2
27451,Category 2
27452,Category 2
27452,Category 2
27454,Category 2
27456,Category 2
27456,Category 2
27456,Category 2
27456,Category 2
27456,Category 2
27457,Category 2
27459,Category 2
27460,Category 2
27460,Category 2
27460,Category 2
27460,Category 2
27461,Category 2
27461,Category 2
27462,Category 2
27462,Category 2
27465,Category 2
